Departamento,Año,Presupuesto para el programa orientado a disminuir la incidencia de TBC y VIH ,Morbilidad,Numero de casos Nuevos,Tasa de mortalidad,,
Amazonas,2012,112636266,121,116,3.5,,
Áncash,2012,4841097,772,684,1.7,,
Apurímac,2012,3933129,123,116,2,,
Arequipa,2012,9022523,741,674,4.5,, 
Ayacucho,2012,921874,218,212,1.8,,
Cajamarca,2012,6714003,245,216,0.1,,
Callao,2012,7054829,1240,1020,4.5,,
Cusco,2012,6572203,663,623,3.7,,
Huancavelica,2012,361652,97,91,0.8,,
Huánuco,2012,0,421,417,3.7,,
Ica,2012,12921129,788,671,4.2,,
Junín,2012,3387401,770,716,1.7,,
La Libertad,2012,6779186,1196,1082,1.7,,
Lambayeque,2012,10319388,679,607,1.9,,
Lima,2012,2311145,12596,11071,3.5,,
Loreto,2012,9652197,1228,1111,3.8,,
Madre de Dios,2012,589756,216,199,5.5,,
Moquegua,2012,774012,181,164,5.7,,
Pasco,2012,434577,96,89,2.7,,
Piura,2012,6729400,507,460,0.9,,
Puno,2012,5389618,383,357,2.5,,
San Martín,2012,6216539,457,421,0.5,,
Tacna,2012,940809,463,414,3.6,,
Tumbes,2012,4068985,128,113,0.9,,
Ucayali,2012,2757779,800,702,6.2,,
Amazonas,2013,2929514,89,87,3.9,,
Áncash,2013,8153644,627,535,2.7,,
Apurímac,2013,5641899,102,92,2.4,,
Arequipa,2013,12528023,694,628,5.6,,
Ayacucho,2013,4291922,285,266,1.3,,
Cajamarca,2013,11099599,232,211,0.3,,
Callao,2013,16607679,1308,1086,4.3,,
Cusco,2013,10607307,663,638,3.3,,
Huancavelica,2013,2938023,86,79,0.2,,
Huánuco,2013,5157559,341,334,1.4,,
Ica,2013,16247340,698,572,4,,
Junín,2013,6899707,740,691,2.9,,
La Libertad,2013,14558631,1105,995,2.7,,
Lambayeque,2013,12979786,759,675,2.6,,
Lima,2013,10273727,12306,10791,3.9,,
Loreto,2013,13642991,1280,1134,7.8,,
Madre de Dios,2013,3027793,239,219,0,,
Moquegua,2013,2188000,110,101,0.6,,
Pasco,2013,1909233,63,71,0,,
Piura,2013,12077588,478,429,1.1,,
Puno,2013,10000072,430,391,2.7,,
San Martín,2013,955492,363,317,1.2,,
Tacna,2013,2144860,397,376,1.5,,
Tumbes,2013,6265585,77,66,1.2,,
Ucayali,2013,3879705,728,641,4.2,,
Amazonas,2014,2108670,103,98,3.7,,
Áncash,2014,7300572,515,446,3.3,,
Apurímac,2014,4504046,100,92,1.5,,
Arequipa,2014,11787555,668,609,2.2,,
Ayacucho,2014,4804444,254,234,2.5,,
Cajamarca,2014,8746106,224,203,0.2,,
Callao,2014,22208037,1247,1070,5.7,,
Cusco,2014,9509220,594,555,1.6,,
Huancavelica,2014,4084503,87,79,0.4,,
Huánuco,2014,3756136,320,309,1.9,,
Ica,2014,17203916,747,631,4.2,,
Junín,2014,5916313,671,615,3.1,,
La Libertad,2014,14344637,1097,962,2.5,,
Lambayeque,2014,16863714,658,560,2.4,,
Lima,2014,24641194,11971,10219,3.3,,
Loreto,2014,11379607,1134,998,5,,
Madre de Dios,2014,2637953,206,187,7.5,,
Moquegua,2014,1518247,113,99,4.5,,
Pasco,2014,1652351,81,75,2,,
Piura,2014,11009103,463,417,1.6,,
Puno,2014,7869630,430,393,2.1,,
San Martín,2014,8343622,444,400,3.9,,
Tacna,2014,5335030,400,379,6.5,,
Tumbes,2014,4196421,134,119,5.5,,
Ucayali,2014,3474411,636,560,4.1,,
Amazonas,2015,2324034,117,113,3.7,,
Áncash,2015,6669097,534,471,2.7,,
Apurímac,2015,3605141,75,68,1.3,,
Arequipa,2015,8853425,620,544,2.5,,
Ayacucho,2015,7469069,233,219,2.5,,
Cajamarca,2015,14816331,209,194,0.7,,
Callao,2015,14565353,1261,1077,10.6,,
Cusco,2015,9532533,546,526,3,,
Huancavelica,2015,3401133,70,64,0.6,,
Huánuco,2015,4845545,395,376,1.3,,
Ica,2015,13914439,708,590,3.6,,
Junín,2015,6406432,700,629,3.2,,
La Libertad,2015,15724572,1104,970,2.2,,
Lambayeque,2015,22269867,621,557,1.7,,
Lima,2015,12150103,11681,10188,3.6,,
Loreto,2015,12872281,1240,1119,5.3,,
Madre de Dios,2015,5410013,190,179,8,,
Moquegua,2015,2392104,108,103,3.2,,
Pasco,2015,1649781,86,82,0.7,,
Piura,2015,15388616,482,445,0.7,,
Puno,2015,9331482,374,350,2.4,,
San Martín,2015,10892225,388,358,3.7,,
Tacna,2015,10648136,372,332,0,,
Tumbes,2015,7105003,85,74,2.1,,
Ucayali,2015,3851060,650,575,6.5,,
Amazonas,2016,2628267,73,67,4,,
Áncash,2016,6947455,504,452,2.9,,
Apurímac,2016,4614536,88,85,2.8,,
Arequipa,2016,14869808,636,555,4.2,,
Ayacucho,2016,7523305,213,198,1.9,,
Cajamarca,2016,15699646,217,200,0.2,,
Callao,2016,14590955,1121,922,7.4,,
Cusco,2016,11007510,656,618,3.2,,
Huancavelica,2016,3328827,77,73,1.8,,
Huánuco,2016,5161700,343,332,1.5,,
Ica,2016,15258523,737,638,4.4,,
Junín,2016,7416796,669,598,2.8,,
La Libertad,2016,1558976,952,868,2.4,,
Lambayeque,2016,23149207,561,495,1.1,,
Lima,2016,13776701,11839,10204,3.6,,
Loreto,2016,12670496,967,865,4.8,,
Madre de Dios,2016,5596733,188,171,4.2,,
Moquegua,2016,2254964,123,116,2.2,,
Pasco,2016,1743615,68,66,1.2,,
Piura,2016,4683155,385,351,1.2,,
Puno,2016,11214018,380,360,2.7,,
San Martín,2016,12132984,376,344,4.2,,
Tacna,2016,5679665,326,290,0,,
Tumbes,2016,6076502,95,70,2.1,,
Ucayali,2016,4095101,697,647,8.4,,
Amazonas,2017,2782397,98,99,3.7,,
Áncash,2017,7203736,446,403,2.9,,
Apurímac,2017,5236354,84,79,1.9,,
Arequipa,2017,16902711,624,575,1.8,,
Ayacucho,2017,8271990,197,191,2.3,,
Cajamarca,2017,16781985,541,219,0,,
Callao,2017,14218837,1138,871,6.1,,
Cusco,2017,15461292,683,442,1.8,,
Huancavelica,2017,7540957,85,92,1.4,,
Huánuco,2017,5519064,343,303,0.6,,
Ica,2017,15651492,705,620,3.1,,
Junín,2017,8867096,627,592,2.2,,
La Libertad,2017,15888234,932,857,3.4,,
Lambayeque,2017,22676269,614,529,1.7,,
Lima,2017,14362556,11800,760,5.2,,
Loreto,2017,14039064,713,915,9.3,,
Madre de Dios,2017,5767588,172,159,6.2,,
Moquegua,2017,2429404,95,110,1.6,,
Pasco,2017,2076077,80,74,0.2,,
Piura,2017,14983372,458,424,0.5,,
Puno,2017,11765139,385,390,1.9,,
San Martín,2017,13112829,376,266,3.7,,
Tacna,2017,5584375,266,252,0,,
Tumbes,2017,6176302,105,74,2.5,,
Ucayali,2017,4302038,611,630,10.5,,
Amazonas,2018,3475672,117,111,3.9,,
Áncash,2018,8900521,481,431,2.4,,
Apurímac,2018,5200537,83,76,2.1,,
Arequipa,2018,17671104,578,525,1.6,,
Ayacucho,2018,10201850,194,179,2.3,,
Cajamarca,2018,17453444,199,181,0.8,,
Callao,2018,14644953,1244,1037,3.1,,
Cusco,2018,15811109,374,356,2.8,,
Huancavelica,2018,3485051,47,44,0,,
Huánuco,2018,6281053,384,356,2.5,,
Ica,2018,17472557,779,661,4.2,,
Junín,2018,12094713,574,526,2,,
La Libertad,2018,16334943,1033,920,3,,
Lambayeque,2018,25684570,609,543,2.8,,
Lima,2018,16444251,895,772,3.5,,
Loreto,2018,14105999,1192,1032,9.1,,
Madre de Dios,2018,6117420,196,182,4.1,,
Moquegua,2018,2514883,120,101,4.8,,
Pasco,2018,2321960,26,26,0.6,,
Piura,2018,14483158,382,359,0.6,,
Puno,2018,12832442,369,351,3,,
San Martín,2018,13177048,274,249,2.9,,
Tacna,2018,6099289,362,330,3.4,,
Tumbes,2018,6224689,100,81,0.8,,
Ucayali,2018,6521664,788,683,9.4,,